,Title,Description,URL
0,3D,"3D refers to the use of three-dimensional graphics, modeling, and animation in various industries.",https://github.com/topics/3d
1,Ajax,Ajax is a technique for creating interactive web applications.,https://github.com/topics/ajax
2,Algorithm,Algorithms are self-contained sequences that carry out a variety of tasks.,https://github.com/topics/algorithm
3,Amp,Amp is a non-blocking concurrency library for PHP.,https://github.com/topics/amphp
4,Android,Android is an operating system built by Google designed for mobile devices.,https://github.com/topics/android
5,Angular,Angular is an open source web application platform.,https://github.com/topics/angular
6,Ansible,Ansible is a simple and powerful automation engine.,https://github.com/topics/ansible
7,API,An API (Application Programming Interface) is a collection of protocols and subroutines for building software.,https://github.com/topics/api
8,Arduino,Arduino is an open source platform for building electronic devices.,https://github.com/topics/arduino
9,ASP.NET,ASP.NET is a web framework for building modern web apps and services.,https://github.com/topics/aspnet
10,Awesome Lists,An awesome list is a list of awesome things curated by the community.,https://github.com/topics/awesome
11,Amazon Web Services,Amazon Web Services provides on-demand cloud computing platforms on a subscription basis.,https://github.com/topics/aws
12,Azure,Azure is a cloud computing service created by Microsoft.,https://github.com/topics/azure
13,Babel,"Babel is a compiler for writing next generation JavaScript, today.",https://github.com/topics/babel
14,Bash,Bash is a shell and command language interpreter for the GNU operating system.,https://github.com/topics/bash
15,Bitcoin,Bitcoin is a cryptocurrency developed by Satoshi Nakamoto.,https://github.com/topics/bitcoin
16,Bootstrap,"Bootstrap is an HTML, CSS, and JavaScript framework.",https://github.com/topics/bootstrap
17,Bot,A bot is an application that runs automated tasks over the Internet.,https://github.com/topics/bot
18,C,C is a general purpose programming language that first appeared in 1972.,https://github.com/topics/c
19,Chrome,Chrome is a web browser from the tech company Google.,https://github.com/topics/chrome
20,Chrome extension,Chrome extensions enable users to customize the Chrome browsing experience.,https://github.com/topics/chrome-extension
21,Command-line interface,"A CLI, or command-line interface, is a console that helps users issue commands to a program.",https://github.com/topics/cli
22,Clojure,"Clojure is a dynamic, general-purpose programming language.",https://github.com/topics/clojure
23,Code quality,"Automate your code review with style, quality, security, and test‑coverage checks when you need them.",https://github.com/topics/code-quality
24,Code review,Ensure your code meets quality standards and ship with confidence.,https://github.com/topics/code-review
25,Compiler,Compilers are software that translate higher-level programming languages to lower-level languages (e.g. machine code).,https://github.com/topics/compiler
26,Continuous integration,"Automatically build and test your code as you push it upstream, preventing bugs from being deployed to production.",https://github.com/topics/continuous-integration
27,C++,C++ is a general purpose and object-oriented programming language.,https://github.com/topics/cpp
28,Cryptocurrency,A cryptocurrency is a digital currency that uses cryptography.,https://github.com/topics/cryptocurrency
29,Crystal,"Crystal is a self-hosted, general purpose programming language.",https://github.com/topics/crystal
30,C#,"C# (""C sharp"") is an object-oriented and type-safe programming language.",https://github.com/topics/csharp
31,CSS,Cascading Style Sheets (CSS) is a language used most often to style and improve upon the appearance of views.,https://github.com/topics/css
32,Data structures,Data structures are a way of organizing and storing data.,https://github.com/topics/data-structures
33,Data visualization,Data visualization is the graphic representation of data and trends.,https://github.com/topics/data-visualization
34,Database,"A database is a structured set of data held in a computer, usually a server.",https://github.com/topics/database
35,Deep learning,Deep Learning is an artificial neural network composed of many layers.,https://github.com/topics/deep-learning
36,Dependency management,Secure and manage your third-party dependencies.,https://github.com/topics/dependency-management
37,Deployment,Streamline your code deployment so you can focus on your product.,https://github.com/topics/deployment
38,Django,Django is a web application framework for Python.,https://github.com/topics/django
39,Docker,Docker is a platform built for developers to build and run applications.,https://github.com/topics/docker
40,Documentation,Documentation is a set of information that describes a product to its users.,https://github.com/topics/documentation
41,.NET,".NET is a free, cross-platform, open source developer platform.",https://github.com/topics/dotnet
42,Electron,Electron is a framework for building cross-platform desktop applications with web technology.,https://github.com/topics/electron
43,Elixir,"Elixir is a dynamic, functional language designed for building scalable and maintainable applications.",https://github.com/topics/elixir
44,Emacs,"Emacs is an extensible, customizable, free text editor and computing environment.",https://github.com/topics/emacs
45,Ember,Ember is a framework for creating web applications.,https://github.com/topics/ember
46,Emoji,"Emojis are graphic symbols that represent an emotion, object, or concept.",https://github.com/topics/emoji
47,Emulator,An emulator is any hardware or software that allows one computer to behave like another.,https://github.com/topics/emulator
48,ESLint,The pluggable linting utility for JavaScript and JSX.,https://github.com/topics/eslint
49,Ethereum,Ethereum is a distributed public blockchain network.,https://github.com/topics/ethereum
50,Express,Express is a minimal Node.js framework for web and mobile applications.,https://github.com/topics/express
51,Firebase,Firebase is a mobile app development platform that provides data analysis and database web services for developers.,https://github.com/topics/firebase
52,Firefox,Firefox is an open source web browser from Mozilla.,https://github.com/topics/firefox
53,Flask,Flask is a web framework for Python based on the Werkzeug toolkit.,https://github.com/topics/flask
54,Font,A font is a particular style of typeface for text.,https://github.com/topics/font
55,Framework,A framework is a reusable set of libraries or classes in software.,https://github.com/topics/framework
56,Front end,Front end is the programming and layout that people see and interact with.,https://github.com/topics/frontend
57,Game engine,A game engine is a software framework used to develop and create video games.,https://github.com/topics/game-engine
58,Git,Git is the most widely used version control system.,https://github.com/topics/git
59,GitHub API,The GitHub API allows you to build applications that integrate with GitHub.,https://github.com/topics/github-api
60,Go,Go is a programming language built to resemble a simplified version of the C programming language.,https://github.com/topics/go
61,Google,Google LLC is an American multinational technology company that specializes in Internet-related services and products.,https://github.com/topics/google
62,Gradle,"Gradle is an open-source build tool that helps teams build, automate and deliver better software, faster.",https://github.com/topics/gradle
63,GraphQL,GraphQL is a query language for APIs and a runtime for fulfilling those queries with your existing data.,https://github.com/topics/graphql
64,Gulp,Gulp is a toolkit for automating and streamlining web development.,https://github.com/topics/gulp
65,Hacktoberfest,"Hacktoberfest is a month-long celebration of open source projects, their maintainers, and the entire community of contributors.",https://github.com/topics/hacktoberfest
66,Haskell,"Haskell is a functional programming language with non-strict semantics, and strong static typing.",https://github.com/topics/haskell
67,Homebrew,Homebrew is a package manager for macOS.,https://github.com/topics/homebrew
68,Homebridge,"Homebridge is a utility for tying smart home devices together into Apple’s HomeKit framework, controlled by Siri.",https://github.com/topics/homebridge
69,HTML,HTML is the fundamental markup language for webpages.,https://github.com/topics/html
70,HTTP,HTTP (Hypertext Transfer Protocol) is the standard for communication across the web.,https://github.com/topics/http
71,Icon font,Icon fonts contain glyphs and symbols in place of textual letters.,https://github.com/topics/icon-font
72,iOS,iOS is the operating system for Apple's mobile products.,https://github.com/topics/ios
